FID	X	Y
143	226834.7989	1893665.101
144	226934.7989	1893665.101
145	227034.7989	1893665.101
146	227134.7989	1893665.101
147	227234.7989	1893665.101
148	227334.7989	1893665.101
149	227434.7989	1893665.101
150	227534.7989	1893665.101
151	227634.7989	1893665.101
152	227734.7989	1893665.101
153	227834.7989	1893665.101
154	227934.7989	1893665.101
155	225234.7989	1893765.101
156	225334.7989	1893765.101
157	225734.7989	1893765.101
158	225834.7989	1893765.101
159	225934.7989	1893765.101
160	226034.7989	1893765.101
161	226134.7989	1893765.101
162	226234.7989	1893765.101
163	226334.7989	1893765.101
164	226434.7989	1893765.101
165	226534.7989	1893765.101
166	226634.7989	1893765.101
167	226734.7989	1893765.101
168	226834.7989	1893765.101
169	226934.7989	1893765.101
170	227034.7989	1893765.101
171	227134.7989	1893765.101
172	227234.7989	1893765.101
173	227334.7989	1893765.101
174	227434.7989	1893765.101
175	227534.7989	1893765.101
176	227634.7989	1893765.101
177	227734.7989	1893765.101
178	227834.7989	1893765.101
179	227934.7989	1893765.101
180	225134.7989	1893865.101
181	225234.7989	1893865.101
182	225334.7989	1893865.101
183	225434.7989	1893865.101
184	225634.7989	1893865.101
185	225734.7989	1893865.101
186	225834.7989	1893865.101
187	225934.7989	1893865.101
188	226034.7989	1893865.101
189	226134.7989	1893865.101
190	226234.7989	1893865.101
191	226334.7989	1893865.101
192	226434.7989	1893865.101
193	226534.7989	1893865.101
194	226634.7989	1893865.101
195	226734.7989	1893865.101
196	226834.7989	1893865.101
197	226934.7989	1893865.101
198	227034.7989	1893865.101
199	227134.7989	1893865.101
200	227234.7989	1893865.101
201	227334.7989	1893865.101
202	227434.7989	1893865.101
203	227534.7989	1893865.101
204	227634.7989	1893865.101
205	227734.7989	1893865.101
206	227834.7989	1893865.101
207	227934.7989	1893865.101
208	228034.7989	1893865.101
209	225134.7989	1893965.101
210	225234.7989	1893965.101
211	225334.7989	1893965.101
212	225434.7989	1893965.101
213	225534.7989	1893965.101
214	225634.7989	1893965.101
215	225734.7989	1893965.101
216	225834.7989	1893965.101
217	225934.7989	1893965.101
218	226034.7989	1893965.101
219	226134.7989	1893965.101
220	226234.7989	1893965.101
221	226334.7989	1893965.101
222	226434.7989	1893965.101
223	226534.7989	1893965.101
224	226634.7989	1893965.101
225	226734.7989	1893965.101
226	226834.7989	1893965.101
227	226934.7989	1893965.101
228	227034.7989	1893965.101
229	227134.7989	1893965.101
