CellNum	LandUse	SoilClass
409	Scrub	Entisols
410	Scrub	Alfisols 2
411	Scrub	Alfisols 2
412	Scrub	Alfisols 2
413	Scrub	Entisols
414	Scrub	Alfisols 2
415	Scrub	Alfisols 2
416	Scrub	Alfisols 2
417	Scrub	Alfisols 2
418	Scrub	Alfisols 1
419	Scrub	Alfisols 1
420	Scrub	Alfisols 1
421	Scrub	Alfisols 1
422	Scrub	Alfisols 1
423	Scrub	Alfisols 1
424	Tank	Alfisols 1
425	Tank	Tank
426	Scrub	Tank
427	Scrub	Alfisols 1
428	Scrub	Alfisols 1
429	Scrub	Alfisols 1
430	Scrub	Inceptisols
431	Scrub	Alfisols 1
432	Scrub	Inceptisols
433	Scrub	Inceptisols
434	Scrub	Inceptisols
435	Scrub	Alfisols 1
436	Scrub	Alfisols 1
437	Scrub	Alfisols 1
438	Scrub	Alfisols 1
439	Scrub	Alfisols 1
440	Scrub	Inceptisols
441	Scrub	Inceptisols
442	Scrub	Alfisols 1
443	Scrub	Entisols
444	Scrub	Inceptisols
445	Scrub	Inceptisols
446	Scrub	Inceptisols
447	Scrub	Inceptisols
448	Scrub	Alfisols 1
449	Scrub	Alfisols 1
450	Scrub	Alfisols 1
451	Scrub	Inceptisols
452	Scrub	Alfisols 1
453	Scrub	Entisols
454	Scrub	Alfisols 1
455	Scrub	Inceptisols
456	Scrub	Alfisols 1
457	Scrub	Inceptisols
458	Scrub	Inceptisols
459	Scrub	Alfisols 1
460	Scrub	Alfisols 1
461	Scrub	Inceptisols
462	PaddyR	Alfisols 1
463	PaddyK	Alfisols 1
464	Scrub	Alfisols 1
465	Scrub	Alfisols 1
466	Scrub	Alfisols 1
467	Scrub	Inceptisols
468	Scrub	Inceptisols
469	Scrub	Alfisols 2
470	Scrub	Alfisols 2
471	Scrub	Alfisols 2
472	Scrub	Entisols
473	Scrub	Alfisols 2
474	Scrub	Entisols
475	Scrub	Alfisols 2
476	Scrub	Alfisols 2
477	Scrub	Alfisols 2
478	Scrub	Alfisols 2
479	Scrub	Alfisols 1
480	Scrub	Alfisols 1
481	Scrub	Alfisols 1
482	Scrub	Alfisols 1
483	Scrub	Alfisols 1
484	Scrub	Alfisols 1
485	Scrub	Alfisols 1
486	Tank	Alfisols 1
487	Tank	Entisols
488	Tank	Alfisols 1
489	Scrub	Alfisols 1
490	Scrub	Alfisols 1
491	Scrub	Alfisols 1
492	Scrub	Alfisols 1
493	Scrub	Inceptisols
494	Scrub	Inceptisols
495	Scrub	Alfisols 1
496	Scrub	Alfisols 1
497	Scrub	Alfisols 1
498	Scrub	Alfisols 1
499	Scrub	Alfisols 1
500	Scrub	Alfisols 1
501	Scrub	Inceptisols
502	Scrub	Alfisols 1
503	Scrub	Inceptisols
504	Scrub	Alfisols 1
505	Scrub	Alfisols 1
506	Scrub	Alfisols 1
507	Scrub	Alfisols 1
508	Scrub	Alfisols 1
509	Scrub	Inceptisols
510	Scrub	Alfisols 1
511	Scrub	Alfisols 1
512	Scrub	Alfisols 1
513	Scrub	Inceptisols
514	Scrub	Alfisols 1
515	Scrub	Entisols
516	Scrub	Alfisols 1
517	Scrub	Inceptisols
518	Scrub	Alfisols 1
519	Scrub	Inceptisols
520	Scrub	Inceptisols
521	Scrub	Alfisols 1
522	Scrub	Alfisols 1
523	PaddyR	Alfisols 1
524	Scrub	Alfisols 1
525	Scrub	Alfisols 1
526	Scrub	Alfisols 2
527	Scrub	Alfisols 2
528	Scrub	Alfisols 2
529	Scrub	Alfisols 2
530	Scrub	Alfisols 2
531	Scrub	Alfisols 2
532	Scrub	Alfisols 2
533	Scrub	Alfisols 2
534	Scrub	Alfisols 2
535	Scrub	Entisols
536	Scrub	Alfisols 2
537	Scrub	Alfisols 2
538	Scrub	Alfisols 2
539	Scrub	Alfisols 2
540	Scrub	Alfisols 1
541	Scrub	Alfisols 1
542	Scrub	Alfisols 1
543	Scrub	Alfisols 1
544	Scrub	Alfisols 1
545	Scrub	Alfisols 1
546	Scrub	Alfisols 1
547	Scrub	Alfisols 1
548	Scrub	Entisols
549	Scrub	Alfisols 1
550	Scrub	Alfisols 1
551	Scrub	Alfisols 1
552	Scrub	Alfisols 1
553	Scrub	Inceptisols
554	Scrub	Inceptisols
555	Scrub	Inceptisols
556	Scrub	Inceptisols
557	Scrub	Alfisols 1
558	Scrub	Inceptisols
559	Fruit	Alfisols 1
560	Scrub	Alfisols 1
561	Scrub	Alfisols 1
562	Scrub	Inceptisols
563	Scrub	Alfisols 1
564	Scrub	Inceptisols
565	Scrub	Inceptisols
566	Scrub	Alfisols 1
567	Scrub	Alfisols 1
568	Scrub	Entisols
569	Scrub	Alfisols 1
570	Scrub	Alfisols 1
571	Scrub	Alfisols 1
572	Scrub	Alfisols 1
573	Scrub	Alfisols 1
574	Scrub	Inceptisols
575	Scrub	Alfisols 1
576	Scrub	Alfisols 1
577	Scrub	Alfisols 1
578	Scrub	Inceptisols
579	Scrub	Alfisols 1
580	Scrub	Alfisols 1
581	Scrub	Alfisols 1
582	Scrub	Alfisols 1
583	Scrub	Alfisols 1
584	Scrub	Alfisols 1
585	Scrub	Alfisols 1
586	Scrub	Alfisols 1
587	Scrub	Alfisols 1
588	Scrub	Alfisols 1
589	Scrub	Inceptisols
590	Scrub	Alfisols 1
591	Scrub	Alfisols 2
592	Scrub	Alfisols 2
593	Scrub	Alfisols 2
594	Scrub	Alfisols 2
595	Scrub	Alfisols 2
596	Scrub	Alfisols 2
597	Scrub	Alfisols 2
598	Scrub	Alfisols 2
599	Scrub	Alfisols 2
600	Scrub	Alfisols 2
601	Scrub	Alfisols 2
602	Scrub	Entisols
603	Scrub	Alfisols 2
604	Scrub	Alfisols 2
605	Scrub	Alfisols 1
606	Scrub	Alfisols 1
607	Scrub	Alfisols 1
608	Scrub	Alfisols 1
609	Scrub	Alfisols 1
610	Scrub	Alfisols 1
611	Scrub	Alfisols 1
612	Scrub	Alfisols 1
613	Scrub	Alfisols 1
614	Scrub	Entisols
615	Scrub	Alfisols 1
616	Scrub	Alfisols 1
617	Scrub	Inceptisols
618	Scrub	Alfisols 1
619	Scrub	Inceptisols
620	Scrub	Inceptisols
621	Scrub	Alfisols 1
622	Scrub	Inceptisols
623	Scrub	Alfisols 1
624	Scrub	Inceptisols
625	Fruit	Alfisols 1
626	Scrub	Alfisols 1
627	Scrub	Alfisols 1
628	Scrub	Alfisols 1
629	Scrub	Inceptisols
630	Scrub	Inceptisols
631	Scrub	Alfisols 1
632	Scrub	Alfisols 1
633	Scrub	Alfisols 1
634	Scrub	Alfisols 1
635	Scrub	Entisols
636	Scrub	Alfisols 1
637	Scrub	Alfisols 1
638	Scrub	Alfisols 1
639	Scrub	Alfisols 1
640	Scrub	Inceptisols
641	Scrub	Alfisols 1
642	Scrub	Alfisols 1
643	Scrub	Entisols
644	Scrub	Alfisols 1
645	Scrub	Alfisols 1
646	Scrub	Alfisols 1
647	Scrub	Alfisols 1
648	Scrub	Alfisols 1
649	Scrub	Alfisols 1
650	Scrub	Alfisols 1
651	Scrub	Alfisols 1
652	Scrub	Alfisols 1
653	Scrub	Alfisols 1
654	Scrub	Alfisols 1
655	Scrub	Alfisols 1
656	Scrub	Alfisols 1
657	Scrub	Alfisols 1
658	Scrub	Alfisols 1
659	Scrub	Alfisols 1
660	Scrub	Alfisols 1
661	Scrub	Alfisols 1
662	Scrub	Alfisols 2
663	Scrub	Alfisols 2
664	Scrub	Alfisols 2
665	Scrub	Alfisols 2
666	Scrub	Alfisols 2
667	Scrub	Alfisols 2
668	Scrub	Alfisols 2
669	Scrub	Alfisols 2
670	Scrub	Alfisols 2
671	Scrub	Alfisols 2
672	Scrub	Alfisols 2
673	Scrub	Entisols
674	Scrub	Alfisols 2
675	Scrub	Alfisols 1
676	Scrub	Alfisols 1
677	Scrub	Alfisols 1
678	Scrub	Alfisols 1
679	Scrub	Alfisols 1
680	Scrub	Alfisols 1
681	Scrub	Alfisols 1
682	Scrub	Alfisols 1
683	Scrub	Alfisols 1
684	Scrub	Alfisols 1
685	Scrub	Entisols
686	Scrub	Alfisols 1
687	Scrub	Alfisols 1
688	Scrub	Alfisols 1
689	Scrub	Alfisols 1
690	Scrub	Inceptisols
691	Scrub	Alfisols 1
692	Scrub	Inceptisols
693	Scrub	Inceptisols
694	Scrub	Alfisols 1
695	Scrub	Alfisols 1
696	Scrub	Alfisols 1
697	Scrub	Alfisols 1
698	Scrub	Alfisols 1
699	Scrub	Alfisols 1
700	Scrub	Alfisols 1
701	Scrub	Inceptisols
702	Scrub	Inceptisols
703	Scrub	Inceptisols
704	Scrub	Inceptisols
705	Scrub	Alfisols 1
706	Scrub	Alfisols 1
707	Scrub	Entisols
708	Scrub	Alfisols 1
709	Scrub	Alfisols 1
710	Scrub	Alfisols 1
711	Scrub	Inceptisols
712	Scrub	Inceptisols
713	Scrub	Inceptisols
714	Scrub	Alfisols 1
715	PaddyR	Alfisols 1
716	PaddyK	Alfisols 1
717	Scrub	Alfisols 1
718	PaddyK	Alfisols 1
719	Scrub	Alfisols 1
720	Scrub	Alfisols 1
721	Scrub	Alfisols 1
722	Scrub	Alfisols 1
723	Scrub	Alfisols 1
724	Scrub	Alfisols 1
725	Scrub	Alfisols 1
726	Scrub	Alfisols 1
727	Scrub	Alfisols 1
728	Scrub	Alfisols 1
729	Scrub	Alfisols 1
730	Scrub	Alfisols 1
731	Scrub	Alfisols 1
732	Scrub	Alfisols 1
733	Scrub	Alfisols 2
734	Scrub	Alfisols 2
735	Scrub	Alfisols 2
736	Scrub	Alfisols 2
737	Scrub	Alfisols 2
738	Scrub	Alfisols 2
739	Scrub	Alfisols 2
740	Scrub	Alfisols 2
741	Scrub	Alfisols 2
742	Scrub	Alfisols 2
743	Scrub	Alfisols 2
744	Scrub	Alfisols 2
745	Scrub	Entisols
746	Scrub	Alfisols 1
747	Scrub	Alfisols 1
748	Scrub	Alfisols 1
749	Scrub	Alfisols 1
750	Scrub	Alfisols 1
751	Scrub	Alfisols 1
752	Scrub	Alfisols 1
753	Scrub	Alfisols 1
754	Scrub	Alfisols 1
755	Scrub	Alfisols 1
756	Scrub	Alfisols 1
757	Scrub	Entisols
758	Scrub	Alfisols 1
759	Scrub	Alfisols 1
760	Urban	Alfisols 1
761	Scrub	Alfisols 1
762	Scrub	Alfisols 1
763	Scrub	Alfisols 1
764	Scrub	Alfisols 1
765	Scrub	Alfisols 1
766	Scrub	Inceptisols
767	Scrub	Alfisols 1
768	Scrub	Alfisols 1
769	Scrub	Alfisols 1
770	Scrub	Alfisols 1
771	Scrub	Alfisols 1
772	Scrub	Alfisols 1
773	Scrub	Inceptisols
774	Scrub	Inceptisols
775	Scrub	Alfisols 1
776	Scrub	Alfisols 1
777	Scrub	Inceptisols
778	Scrub	Alfisols 1
779	Scrub	Alfisols 1
780	Scrub	Alfisols 1
781	Scrub	Alfisols 1
782	Scrub	Alfisols 1
783	Scrub	Inceptisols
784	Scrub	Inceptisols
785	Scrub	Alfisols 1
786	Scrub	Alfisols 1
787	Scrub	Alfisols 1
788	PaddyK	Alfisols 1
789	Scrub	Alfisols 1
790	PaddyR	Alfisols 1
791	PaddyK	Alfisols 1
792	Scrub	Alfisols 1
793	Scrub	Alfisols 1
794	Scrub	Alfisols 1
795	Scrub	Alfisols 1
796	Scrub	Alfisols 1
797	Scrub	Alfisols 1
798	Scrub	Alfisols 1
