Date	PET_mm	Rainfall_mm
2011-02-26	4.5	0
2011-02-27	4.2	0
2011-02-28	4.8	0
2011-03-01	7.3	0
2011-03-02	6	0
2011-03-03	7	0
2011-03-04	6.5	0
2011-03-05	9.9	0
2011-03-06	7.3	0
2011-03-07	8.7	0
2011-03-08	6.9	0
2011-03-09	7	0
2011-03-10	7.2	0
2011-03-11	7.9	0.2
2011-03-12	7.7	0
2011-03-13	7	0
2011-03-14	6.9	0
2011-03-15	6.8	0
2011-03-16	7.4	0
2011-03-17	8	0
2011-03-18	7.8	0
2011-03-19	6.9	0
2011-03-20	7.8	0
2011-03-21	8.1	0
2011-03-22	7	0
2011-03-23	8	0
2011-03-24	7.9	0
2011-03-25	9.2	0
2011-03-26	9.4	0
2011-03-27	4.2	0
2011-03-28	7.5	0
2011-03-29	8.3	0
2011-03-30	7.4	0
2011-03-31	9	0
2011-04-01	8.5	0
2011-04-02	9	0
2011-04-03	8.1	0
2011-04-04	9.3	0
2011-04-05	9.4	0
2011-04-06	9.5	0
2011-04-07	8	0
2011-04-08	9	0
2011-04-09	7	0
2011-04-10	5.1	0
2011-04-11	8	0
2011-04-12	8	0
2011-04-13	7.7	0
2011-04-14	9.2	0.5
2011-04-15	8	0
2011-04-16	9	0
2011-04-17	8.2	0
2011-04-18	8.5	0
2011-04-19	7.9	0
2011-04-20	10.2	3.6
2011-04-21	6.8	0
2011-04-22	8.4	3.4
2011-04-23	7.6	0
2011-04-24	8.8	0
2011-04-25	10.6	0
2011-04-26	8.4	0
2011-04-27	7.6	0
2011-04-28	8.8	0
2011-04-29	10.6	0
2011-04-30	9.7	0
2011-05-01	9.1	0
2011-05-02	9.6	0
2011-05-03	10.2	0
2011-05-04	11.3	0
2011-05-05	11.1	0
2011-05-06	11.4	0
2011-05-07	11.7	0
2011-05-08	11.8	0
2011-05-09	12.4	0
2011-05-10	12.4	0.1
2011-05-11	7	0
2011-05-12	10	0
2011-05-13	10	0
2011-05-14	10.3	0
2011-05-15	10.9	0
2011-05-16	11.6	0
2011-05-17	7.5	0.1
2011-05-18	7.6	0
2011-05-19	7.3	0
2011-05-20	11.2	0
2011-05-21	11.4	0
2011-05-22	13.5	0
2011-05-23	11	0
2011-05-24	10.3	0
2011-05-25	10.3	0
2011-05-26	10.3	0
2011-05-27	8.4	0
2011-05-28	9.8	1.8
2011-05-29	5.4	0
2011-05-30	10.6	0
2011-05-31	12	0
2011-06-01	11.5	0
2011-06-02	11.5	0
2011-06-03	8.7	0
2011-06-04	3.8	12.4
2011-06-05	6	0
2011-06-06	9.2	0
2011-06-07	8.9	0
2011-06-08	4.1	5.5
2011-06-09	6.6	0
2011-06-10	6	4
2011-06-11	2.1	1.4
2011-06-12	8.3	0
2011-06-13	9.2	0
2011-06-14	10	0
2011-06-15	9	0
2011-06-16	5.5	6.8
2011-06-17	7	1.8
2011-06-18	7.5	0
2011-06-19	11.5	0
2011-06-20	11.4	0
2011-06-21	8.2	1.8
2011-06-22	10	0
2011-06-23	10	0
2011-06-24	9.4	0
2011-06-25	11.7	0.2
2011-06-26	10.4	0
2011-06-27	6.5	1.4
2011-06-28	7.3	0
2011-06-29	7.7	0.6
2011-06-30	9	0
2011-07-01	9.6	0
2011-07-02	9	0
2011-07-03	8.1	1.8
2011-07-04	3.9	6.2
2011-07-05	5	0
